os,finance_db,finance_rowid,finance_client,lab_client,score,status,issue,entry,amount,nfs,classification,current_status,decision,link_count
28875,banco_empresa.db,623,FORTLEV,FORTLEV,1.0,Liberado,2026-01-22,2026-01-11,2500.0,50,safe,Liberado,mark_invoiced,1
28876,banco_empresa.db,618,EDK,EDK,1.0,Liberado,2026-01-14,2026-01-11,3040.0,45,safe,Liberado,mark_invoiced,1
28885,banco_empresa.db,640,SOS,SOS MAQUINAS,0.812,Liberado,2026-02-12,2026-01-14,11414.25,71,safe,Liberado,mark_invoiced,2
28886,banco_empresa.db,671,UNILEVER,UNILEVER,1.0,Liberado,2026-03-10,2026-01-15,4562.0,96,safe,Liberado,mark_invoiced,1
28887,banco_empresa.db,625,EDK,EDK,1.0,Liberado,2026-01-23,2026-01-15,6091.5,54,safe,Liberado,mark_invoiced,1
28889,banco_empresa.db,695,FRI-SABOR,FRI SABOR,1.0,Liberado,2026-04-01,2026-01-15,1300.0,117,safe,Liberado,mark_invoiced,1
28890,banco_empresa.db,795,FRI SABOR,FRI SABOR,1.0,Liberado,2026-07-13,2026-01-15,1350.0,207,safe,Liberado,mark_invoiced,2
28891,banco_empresa.db,735,FRI SABOR,FRI SABOR,1.0,Liberado,2026-05-06,2026-01-15,500.0,149,safe,Liberado,mark_invoiced,1
28892,banco_empresa.db,795,FRI SABOR,FRI SABOR,1.0,Liberado,2026-07-13,2026-01-15,1350.0,207,safe,Liberado,mark_invoiced,2
28893,banco_empresa.db,695,FRI-SABOR,FRI SABOR,1.0,Liberado,2026-04-01,2026-01-15,1300.0,117,safe,Liberado,mark_invoiced,1
28894,banco_empresa.db,741,I. F. DOS SANTOS,I.F.DOSSANTOS,0.87,Liberado,2026-05-08,2026-01-15,4085.0,156,safe,Liberado,mark_invoiced,1
28899,banco_automacao.db,274,CEARA MIRIM,CEARA MIRIM,1.0,Liberado,2026-02-02,2026-01-19,5700.0,16,safe,Liberado,mark_invoiced,1
28900,banco_automacao.db,374,RV ENERGIA AGROINDUSTRIAL,RV ENERGIA E AGROINDUSTRIA,0.941,Liberado,2026-01-26,2026-01-20,6900.0,14,safe,Liberado,mark_invoiced,1
29903,banco_empresa.db,668,MONDELEZ,MONDELEZ,1.0,Liberado,2026-03-06,2026-01-21,11660.0,94,safe,Liberado,mark_invoiced,2
29918,banco_empresa.db,739,INGREDION,INGREDION,1.0,Aprovado,2026-05-08,2026-01-23,40320.0,153,safe,Aprovado,mark_invoiced,1
29919,banco_empresa.db,636,USINA SAO JOSE SA,USINA SAO JOSE S/A,1.0,Liberado,2026-02-12,2026-01-22,6209.2,68,safe,Liberado,mark_invoiced,1
